"file","metabolite","quantMasses","intensity","rt","ri"
"e10223ch_20_c13.cdf","c28","71;85;99",62117993,2114.42,2800
"e10223ch_20_c13.cdf","c32","71;85;99",55956221,2337.01,3200
"e10223ch_20_c13.cdf","c36","71;85;99",43370798,2535.21,3600
"e10223ch_21_c14.cdf","c10","71;85;99",41417825,393.616,1000
"e10223ch_21_c14.cdf","c12","71;85;99",34094419,688.016,1200
"e10223ch_21_c14.cdf","c15","71;85;99",38096257,1086.02,1500
"e10223ch_21_c14.cdf","c18","71;85;99",44543226,1386.42,1800
"e10223ch_21_c14.cdf","c19","71;85;99",65051816,1475.02,1900
"e10223ch_21_c14.cdf","c22","71;85;99",67446289,1715.02,2200
"e10223ch_21_c14.cdf","c28","71;85;99",60787480,2114.02,2800
